BarTimestamp, FancyIndicator, Open, High, Low, Close
6/11/2023 3:45:00 AM, -0.50, 25754.55, 25755.83, 25726.92, 25736.61
6/11/2023 3:50:00 AM, -0.50, 25736.61, 25746.34, 25725.63, 25733.15
6/11/2023 3:55:00 AM, 0.50, 25731.12, 25742.77, 25731.12, 25738.6
6/11/2023 4:00:00 AM, 0.50, 25738.56, 25757.96, 25738.56, 25753.21
6/11/2023 4:05:00 AM, 0.50, 25753.21, 25755.35, 25743.1, 25749.68
6/11/2023 4:10:00 AM, 0.50, 25750.67, 25753.65, 25735.12, 25741.87
6/11/2023 4:15:00 AM, 0.50, 25742.25, 25758.71, 25734.88, 25737.31
6/11/2023 4:20:00 AM, 0.50, 25737.54, 25752.47, 25733.76, 25745.01
6/11/2023 4:25:00 AM, 0.50, 25744.96, 25757.94, 25744.94, 25753.23
6/11/2023 4:30:00 AM, 0.50, 25753.22, 25785.99, 25746.65, 25774.75
6/11/2023 4:35:00 AM, 0.50, 25774.4, 25779.03, 25758.69, 25771.34
6/11/2023 4:40:00 AM, 0.50, 25771.34, 25782.54, 25761.24, 25776.73
